Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Panama,PAN,..,94.37922,118.17132,37.65953,39.10899,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Papua New Guinea,PNG,..,..,..,..,..,..,..,35.48821,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Paraguay,PRY,..,..,50.04755,168.34039,..,152.2079,182.69493,121.1058,135.13787,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Peru,PER,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Philippines,PHL,..,..,84.10554,..,186.91776,..,105.68078,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Poland,POL,..,1430.98372,1675.06159,1752.7068,1873.05999,2064.04968,2171.57881,2320.78995,3019.1146,3106.1196,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Portugal,PRT,..,1625.53423,4168.2672,4037.33199,3610.55354,3662.37537,3729.77304,4004.57642,4367.73282,4537.53162,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Puerto Rico,PRI,..,..,..,..,273.98371,..,348.36426,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Qatar,QAT,..,..,..,548.00091,..,..,583.9826,..,..,577.34853,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Romania,ROU,..,924.94974,790.68805,890.67001,922.67455,903.82628,876.22819,911.58518,891.32124,882.44127,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Russian Federation,RUS,..,3459.03716,3114.61084,3078.38752,3052.69101,3075.14249,3098.11238,2952.21387,2821.52662,2784.33237,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Rwanda,RWA,..,..,..,..,15.5482,..,..,13.86086,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Senegal,SEN,..,..,..,..,..,..,564.33948,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Serbia,SRB,..,..,1624.00859,1643.3742,1726.97302,1830.99247,2071.21672,2132.77271,2079.19966,2087.21892,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
